Sheet,Name,Type,Difficulty,Size,Game,Health,Damage,Goal Type,Goal,Ability,File,Tag,Phases,Confidence,Why this pairing
bosses,Weirdling Beast,Traditional,2-Medium,2x2,Tales of Maj'Eyal,1,5,Bounty,Defeat an enemy that heals to full,N/A,WeirdlingBeast,,,ok,"Heals to full in a few turns, and does it often"
bosses,Ukruk the Fierce,Traditional,2-Medium,2x2,Tales of Maj'Eyal,1,5,Feat,Survive a fight you were meant to lose,N/A,UkrukTheFierce,,,ok,A scripted ambush you are not supposed to win
enemies,Bill the Stone Troll,Traditional,2-Medium,1x1,Tales of Maj'Eyal,1,2,Feat,Unlock a permanent upgrade,N/A,BillTheStoneTroll,"troll, rock",,ok,"Drops the Transmogrification Chest, which unlocks for all future characters"
enemies,Grand Corruptor,Traditional,3-High,1x1,Tales of Maj'Eyal,1,3,Feat,Survive a room that hurts you every turn,N/A,GrandCorruptor,,,ok,"Drags you to the Fearscape, which damages you and heals him"
enemies,Rak'Shor Cultist,Traditional,2-Medium,1x1,Tales of Maj'Eyal,1,2,Discovery,Face an enemy that copies you,N/A,RakShorCultist,,,ok,"Spawns a shade with your appearance, stats and talents"
bosses,The Lich,Strategy,3-High,2x2,Loop Hero,1,7,Bounty,Defeat a boss you summoned yourself,N/A,TheLich,"undead, skeleton",,ok,"Chapter I's boss, brought by the tiles you placed"
enemies,Harpy,Strategy,1-Low,1x1,Loop Hero,1,1,Feat,Change the map to make an enemy appear,N/A,Harpy,bird,,ok,Spawns after you create a mountain peak
enemies,Chest,Strategy,1-Low,1x1,Loop Hero,1,1,Bounty,Defeat a chest that fights back,N/A,Chest,,,ok,Spawns at the start of each loop on a battlefield
enemies,Blood Clot,Strategy,1-Low,1x1,Loop Hero,1,1,Bounty,Defeat an enemy made of blood,N/A,BloodClot,,,ok,Spawns every 4 days on a blood path
enemies,Frost Jailer,Deckbuilder,1-Low,1x1,Wildfrost,1,1,Feat,Free something frozen or trapped,N/A,FrostJailer,ice,,ok,Companions are freed from ice blocks; the Jailer is what puts them there
enemies,Truffle,Deckbuilder,1-Low,1x1,Wildfrost,1,1,Bounty,Defeat a mushroom,N/A,Truffle,mushroom,,ok,One of the game's named bosses
bosses,Eye of the Storm,Deckbuilder,3-High,2x2,Wildfrost,1,7,Restriction,Win a fight using only status effects,N/A,EyeOfTheStorm,"ice, eye",,ok,"The final fight, decided by stacked statuses"
bosses,Bamboozle,Deckbuilder,2-Medium,2x2,Wildfrost,1,5,Restriction,Win a fight without knowing what the enemy does,N/A,Bamboozle,,,ok,"The Act 1 boss, named for the trick it plays, and it splits into Bam and Boozle when it dies"
enemies,Krunker,Deckbuilder,2-Medium,1x1,Wildfrost,1,2,Bounty,Defeat an enemy that destroys your items,N/A,Krunker,,,ok,"The Act 2 boss, and a Clunker — the junk that clogs up what you brought"
enemies,Warden,Action,1-Low,1x1,Deep Rock Galactic: Survivor,1,1,Bounty,Defeat the enemy protecting the others,N/A,Warden,bug,,ok,Mind-links nearby enemies and hands them damage reduction
enemies,Bulk Detonator,Action,1-Low,1x1,Deep Rock Galactic: Survivor,1,1,Feat,Survive an explosion that fills the screen,N/A,BulkDetonator,bug,,ok,Goes off big enough to take the room
enemies,Oppressor,Action,1-Low,1x1,Deep Rock Galactic: Survivor,1,1,Bounty,Defeat an enemy you cannot hurt from the front,N/A,Oppressor,bug,,ok,"Armoured at the front, soft behind"
enemies,Stingtail,Action,1-Low,1x1,Deep Rock Galactic: Survivor,1,1,Feat,Get grabbed and escape,N/A,Stingtail,bug,,ok,Grabs and drags you out of position
enemies,Web Spitter,Action,1-Low,1x1,Deep Rock Galactic: Survivor,1,1,Feat,Get stuck in place and break out,N/A,WebSpitter,"bug, spider",,ok,Webs the ground under you
enemies,Gorilla,Action,1-Low,1x1,Streets of Rogue,1,1,Bounty,Defeat a beast in melee,N/A,Gorilla,monkey,,ok,"No weapons, only Primal Lunge"
enemies,Werewolf,Action,1-Low,1x1,Streets of Rogue,1,1,Discovery,Witness an enemy transform,N/A,Werewolf,,,ok,Turns when the conditions are right
enemies,Cop,Action,3-High,1x1,Streets of Rogue,1,3,Restriction,Finish a level without killing anyone,N/A,Cop,cop,,ok,"Knockouts are a real alternative here, and killing cops escalates"
bosses,The First Hero,Action,3-High,2x2,Skul: The Hero Slayer,1,7,Bounty,Defeat another game's protagonist,N/A,TheFirstHero,,,ok,The hero comes down to kill you — you are the monster
enemies,Elder Ent: Yggdrasil,Action,1-Low,1x1,Skul: The Hero Slayer,1,1,Bounty,Defeat a tree,N/A,ElderEntYggdrasil,plant,,ok,The Forest of Harmony's boss
enemies,Distorted Goddess: Chimera,Action,1-Low,1x1,Skul: The Hero Slayer,1,1,Bounty,Defeat something made of several creatures,N/A,DistortedGoddessChimera,god,,ok,The Grand Hall's boss
bosses,Alexander,Action,1-Low,2x2,Skul: The Hero Slayer,1,3,Bounty,Defeat an emperor,N/A,Alexander,,,ok,Emperor of Caerleon
enemies,The Angler,Deckbuilder,1-Low,1x1,Inscryption,1,1,Bounty,Defeat an enemy that steals from you mid-fight,N/A,TheAngler,fish,,ok,Hooks your last-played card every other turn
enemies,The Trapper,Deckbuilder,1-Low,1x1,Inscryption,1,1,Fetch,Trade a monster drop for something better,N/A,TheTrapper,,,ok,"Turns your dead cards into pelts, which the Trader buys back as creatures"
enemies,The Prospector,Deckbuilder,1-Low,1x1,Inscryption,1,1,Feat,Turn something you own into currency,N/A,TheProspector,,,ok,Second phase turns your played cards into gold
bosses,Grimora,Deckbuilder,2-Medium,2x2,Inscryption,1,5,Feat,Leave a record of a character who died,N/A,Grimora,undead,,ok,The death scrybe; death cards persist into later runs
bosses,P03,Deckbuilder,3-High,2x2,Inscryption,1,7,Discovery,Catch the game changing its own rules,N/A,P03,robot,,ok,Takes the game over from the inside
enemies,The Unfinished Boss,Deckbuilder,1-Low,1x1,Inscryption,1,1,Bounty,Defeat an unfinished enemy,N/A,TheUnfinishedBoss,,,ok,An Uberbot P03 never completed
enemies,Ogre,Traditional,2-Medium,1x1,Brogue,1,2,Feat,Free a caged enemy and fight beside it,N/A,Ogre,ogre,,ok,"Captives are chained and caged in the early dungeon; free one and it fights beside you, and an ogre is the one worth freeing"
enemies,Paralytic Bloat,Traditional,1-Low,1x1,Brogue,1,1,Feat,Lose a turn to paralysis and survive,N/A,ParalyticBloat,,,ok,Pops into a cloud of paralytic gas
enemies,Phantom,Traditional,1-Low,1x1,Brogue,1,1,Feat,Fight something you cannot see,N/A,Phantom,ghost,,ok,Invisible except as a disturbance
enemies,Goblin Conjurer,Traditional,1-Low,1x1,Brogue,1,1,Feat,Let a summon land the killing blow,N/A,GoblinConjurer,goblin,,ok,Summons spectral blades to fight for it
bosses,Warden of Yendor,Traditional,3-High,2x2,Brogue,1,7,Discovery,Go deeper than the run required,N/A,WardenOfYendor,,,ok,Guards what is past the point you needed to reach
bosses,Fenrir,Strategy,2-Medium,2x2,Mewgenics,1,5,Bounty,Defeat an enemy that hides and lays traps,N/A,Fenrir,dog,,ok,Hides in the grass and seeds traps your cats will step on
bosses,Boris,Strategy,1-Low,2x2,Mewgenics,1,3,Bounty,Pop something swollen,N/A,Boris,cat,,ok,A grotesquely bloated 200 HP cat at the end of the Sewers
bosses,Bob,Action,3-High,2x2,Muck,1,7,Feat,Build a vehicle and leave in it,N/A,Bob,,,ok,The last thing you kill once the boat is built and you set sail
enemies,Woodman,Action,1-Low,1x1,Muck,1,1,Feat,Chop down a tree,N/A,Woodman,plant,,ok,The tree that hits back
enemies,Wyvern,Action,1-Low,1x1,Muck,1,1,Bounty,Defeat a flying beast,N/A,Wyvern,dragon,,ok,Night-spawning boss
enemies,Chief,Action,1-Low,1x1,Muck,1,1,Bounty,Defeat a leader,N/A,Chief,,,ok,One of the six bosses between you and the boat
bosses,Skeleton King,Action,1-Low,2x2,Ball x Pit,1,3,Bounty,Defeat a crowned undead,N/A,SkeletonKing,"undead, skeleton",,ok,A stage boss with a crown on
bosses,Sabertooth,Action,1-Low,2x2,Ball x Pit,1,3,Bounty,Defeat an extinct animal,N/A,Sabertooth,cat,,ok,A stage boss
enemies,Lord of Owls,Action,1-Low,1x1,Ball x Pit,1,1,Bounty,Defeat a bird,N/A,LordOfOwls,bird,,ok,A stage boss
enemies,Shroom Swarm,Action,2-Medium,1x1,Ball x Pit,1,2,Bounty,Defeat a mushroom colony,N/A,ShroomSwarm,mushroom,,ok,A stage boss made of many bodies
enemies,Old King,Action,1-Low,1x1,Enter the Gungeon,1,1,Bounty,Defeat a king and take the crown,N/A,OldKing,gun,,ok,The Abbey of the True Gun's boss
enemies,Kill Pillars,Action,1-Low,1x1,Enter the Gungeon,1,1,Bounty,Defeat four enemies that share one fight,N/A,KillPillars,,,ok,"Four pillars, one encounter"
enemies,High Priest,Action,1-Low,1x1,Enter the Gungeon,1,1,Bounty,Defeat a priest,N/A,HighPriest,gun,,ok,The Hollow's homing-bullet boss
enemies,Mine Flayer,Action,1-Low,1x1,Enter the Gungeon,1,1,Bounty,Defeat a boss inside a mine,N/A,MineFlayer,,,ok,Black Powder Mine's Cthulhu-shaped boss
bosses,King Conga,Traditional,1-Low,2x2,Crypt of the NecroDancer,1,3,Fetch,Wear a crown,N/A,KingConga,monkey,,ok,A crowned gorilla king
bosses,The Necrodancer,Traditional,3-High,2x2,Crypt of the NecroDancer,1,7,Restriction,Do not pause the game,N/A,TheNecrodancer,,,ok,The game that never stops moving to the beat
enemies,Coral Riff,Traditional,1-Low,1x1,Crypt of the NecroDancer,1,1,Bounty,Defeat a musician,N/A,CoralRiff,fish,,ok,A boss made of instruments
enemies,Death Metal,Traditional,1-Low,1x1,Crypt of the NecroDancer,1,1,Bounty,Defeat an armoured enemy,N/A,DeathMetal,,,ok,"A boss in metal armour with a speaker in its chest, three phases deep"
enemies,The Guardian,Deckbuilder,1-Low,1x1,Slay the Spire,1,1,Feat,Make an enemy change form,N/A,TheGuardian,robot,,ok,Mode Shift flips it between offensive and defensive
enemies,Giant Head,Deckbuilder,2-Medium,1x1,Slay the Spire,1,2,Bounty,Defeat an enemy that punishes you for being slow,N/A,GiantHead,,,ok,"Slow and Steady, then It Is Time"
bosses,Nemesis,Deckbuilder,3-High,2x2,Slay the Spire,1,7,Restriction,Win against something immune to half your damage,N/A,Nemesis,,,ok,Intangible halves everything you send
enemies,Dogma,Action,2-Medium,1x1,The Binding of Isaac,1,2,Feat,Break a screen,N/A,Dogma,,,ok,A boss who climbs out of the television
enemies,Gurdy,Action,1-Low,1x1,The Binding of Isaac,1,1,Bounty,Defeat an enemy made of other enemies,N/A,Gurdy,,,ok,A mound of fused bodies that spawns more
enemies,Monstro,Action,1-Low,1x1,The Binding of Isaac,1,1,Bounty,Defeat an enemy that jumps on you,N/A,Monstro,,,ok,The first boss most players ever meet
bosses,The Beast,Action,3-High,2x2,The Binding of Isaac,1,7,Bounty,Reach an ending most players never see,N/A,TheBeast,,,ok,Repentance's true finale
enemies,Bone Hydra,Action,1-Low,1x1,Hades,1,1,Bounty,Defeat an enemy with more than one head,N/A,BoneHydra,"undead, skeleton",,ok,Regrows heads as you cut them off
enemies,The Furies,Action,1-Low,1x1,Hades,1,1,Discovery,Meet the same boss with a different face,N/A,TheFuries,,,ok,"Megaera, Alecto or Tisiphone — the same fight, a different sister"
enemies,Charybdis,Action,2-Medium,1x1,Hades II,1,2,Feat,Get swallowed,N/A,Charybdis,water,,ok,A mouth in the sea
bosses,Wizard of Yendor,Traditional,4-Insane,2x2,NetHack,1,9,Bounty,Defeat a boss that keeps coming back,N/A,WizardOfYendor,,,ok,"Killed, and then he is back"
enemies,Scavenger,Action,2-Medium,1x1,Risk of Rain,1,2,Bounty,Defeat an enemy carrying your items,N/A,Scavenger,,,ok,Wears a sack of the run's loot
enemies,Magma Worm,Action,2-Medium,1x1,Risk of Rain,1,2,Bounty,Defeat an enemy that burrows,N/A,MagmaWorm,"fire, worm",,ok,Surfaces only to hit you
bosses,Imp Overlord,Action,1-Low,2x2,Risk of Rain,1,3,Bounty,Defeat something from another dimension,N/A,ImpOverlord,,,ok,Comes through from somewhere else
enemies,Parent,Action,1-Low,1x1,Risk of Rain,1,1,Bounty,Defeat an enemy that grabs and throws you,N/A,Parent,,,ok,Picks you up and puts you somewhere worse
enemies,The Wall,Deckbuilder,1-Low,1x1,Balatro,1,1,Feat,Beat an encounter with double the requirement,N/A,TheWall,,,ok,An extra-large blind
bosses,The Eye,Deckbuilder,3-High,1x1,Balatro,1,7,Restriction,Do not use the same attack twice,N/A,TheEye,eye,,ok,No repeat hand types this blind
enemies,The Ox,Deckbuilder,1-Low,1x1,Balatro,1,1,Feat,Spend all your currency at once,N/A,TheOx,,,ok,Playing your most-played hand sets your money to 0
bosses,The Mother,Action,1-Low,2x2,Brotato,1,3,Bounty,Defeat an enemy that fills the screen,N/A,TheMother,alien,,ok,One of the two wave-20 bosses
enemies,Monk Elite,Action,1-Low,1x1,Brotato,1,1,Bounty,Defeat an enemy that never stops moving,N/A,MonkElite,alien,,ok,Summons rotating projectiles and area zones
bosses,Jonah,Action,2-Medium,2x2,Rogue Legacy 2,1,5,Feat,Be swallowed whole,N/A,Jonah,fish,,ok,The whale you fight from the inside
bosses,Cain,Action,2-Medium,2x2,Rogue Legacy 2,1,5,Bounty,Defeat a sibling,N/A,Cain,,,ok,The other half of the family
enemies,Estuary Lamech,Action,2-Medium,1x1,Rogue Legacy 2,1,2,Restriction,Beat the first boss with no upgrades,N/A,EstuaryLamech,,,ok,"The game's first Estuary, in a game built on buying upgrades"
enemies,Byarrrith and Halpharrr,Action,3-High,1x1,Rogue Legacy 2,1,3,Bounty,Defeat two enemies that share a health bar,N/A,ByarrrithAndHalpharrr,,,ok,"A pair of skeleton pirates: hurt one and the other arrives, and they are fought as a single encounter"
enemies,Xeroc,Traditional,1-Low,1x1,Rogue,1,1,Discovery,Be fooled by something disguised as loot,N/A,Xeroc,,,ok,Imitates an item until you touch it
enemies,Aquator,Traditional,1-Low,1x1,Rogue,1,1,Feat,Have your armour ruined and keep going,N/A,Aquator,,,ok,Rusts armour on contact
bosses,Praxis,Action,2-Medium,2x2,Ember Knights,1,5,Bounty,Defeat someone who sends others to fight you,N/A,Praxis,,,ok,Summons the bosses you have already beaten
enemies,Plague Bringer,Action,2-Medium,1x1,Ember Knights,1,2,Feat,Win while poisoned,N/A,PlagueBringer,,,ok,One of Praxis's mini-bosses
bosses,The Architect,Action,2-Medium,2x2,Ember Knights,1,5,Bounty,Defeat a boss that builds its own arena,N/A,TheArchitect,,,ok,"The final boss of the Wrath of the Architect DLC, fought in a realm it makes itself"
enemies,Prickwood,Deckbuilder,1-Low,1x1,Dungeon Clawler,1,1,Bounty,Defeat the first boss of a run,N/A,Prickwood,plant,,ok,The first boss the game gives you
enemies,Bee Queen,Deckbuilder,1-Low,1x1,Dungeon Clawler,1,1,Bounty,Defeat a bee or a wasp,N/A,BeeQueen,bug,,ok,Drops honey balls into the claw machine so everything they touch comes up in one sticky clump
bosses,Daemon Master,Strategy,3-High,2x2,Forward: Escape the Fold,1,7,Bounty,Defeat the second to last boss of a run,N/A,DaemonMaster,,,ok,Always the penultimate boss — the rest are randomised
bosses,Strong Daemon Master,Strategy,4-Insane,2x2,Forward: Escape the Fold,1,9,Bounty,Defeat a final boss on the highest difficulty,N/A,StrongDaemonMaster,,,ok,Always the last boss
enemies,Grip,Traditional,1-Low,1x1,Angband,1,1,Bounty,Defeat a named enemy,N/A,Grip,dog,,ok,"One of Farmer Maggot's dogs, and the first unique most runs ever meet"
enemies,Wormtongue,Traditional,2-Medium,1x1,Angband,1,2,Feat,Live through being slowed or held in place,N/A,Wormtongue,,,ok,Saruman's agent opens by slowing you and filling the floor with traps
enemies,Boldor,Traditional,2-Medium,1x1,Angband,1,2,Bounty,Defeat the king of the feeblest creatures in the game,N/A,Boldor,,,ok,"King of the Yeeks, whose subjects are the weakest thing in the dungeon"
bosses,Sauron,Traditional,3-High,2x2,Angband,1,7,Bounty,Defeat the boss standing between you and the last one,N/A,Sauron,,,ok,He dies on level 99 or the stairs to Morgoth never appear
bosses,Morgoth,Traditional,4-Insane,2x2,Angband,1,9,Feat,Reach the deepest floor of the game,N/A,Morgoth,,,ok,"Waits on dungeon level 100, which is the bottom of Angband"
enemies,Kranach,Traditional,1-Low,1x1,Ancient Domains of Mystery,1,1,Feat,Clear an optional area the run did not require,N/A,Kranach,,,ok,A raider lord in a side quest nothing forces you to take
enemies,Keethrax,Traditional,2-Medium,1x1,Ancient Domains of Mystery,1,2,Bounty,Defeat an enemy that curses you when it hits you,N/A,Keethrax,,,ok,The evil druid of the first quest corrupts by touch
bosses,Cat Lord,Traditional,3-High,2x2,Ancient Domains of Mystery,1,7,Restriction,Do not harm any animals,N/A,CatLord,cat,,ok,He arrives stronger and angrier for every cat the run has killed
bosses,Emperor Lich,Traditional,4-Insane,2x2,Ancient Domains of Mystery,1,9,Bounty,Defeat an enemy that raises the dead against you,N/A,EmperorLich,undead,,ok,Summons meat shields by the screenful and paralyses on touch
enemies,Diggle,Traditional,1-Low,1x1,Dungeons of Dredmor,1,1,Bounty,Defeat an enemy guarding its young,N/A,Diggle,bird,,ok,"The early floors' bird, found standing over its eggs"
enemies,Blink Batty,Traditional,2-Medium,1x1,Dungeons of Dredmor,1,2,Bounty,Defeat an enemy that teleports,N/A,BlinkBatty,,,ok,A batty that blinks away the moment you swing at it
bosses,Lord Dredmor,Traditional,3-High,2x2,Dungeons of Dredmor,1,7,Feat,Beat the boss the game is named after,N/A,LordDredmor,,,ok,The whole descent is aimed at him and nothing else
enemies,Champion,Traditional,2-Medium,1x1,Tangledeep,1,2,Bounty,Defeat an elite version of an ordinary enemy,N/A,Champion,,,ok,Champions are rolled-up variants of the normal roster
enemies,Mamel,Traditional,1-Low,1x1,Mystery Dungeon 2: Shiren the Wanderer,1,1,Bounty,Defeat the weakest enemy in the game,N/A,Mamel,,,ok,The first and feeblest monster a Shiren run meets
enemies,Gitan Mamel,Traditional,2-Medium,1x1,Mystery Dungeon 2: Shiren the Wanderer,1,2,Fetch,Take a fortune off a single enemy,N/A,GitanMamel,,,ok,"Drops 2,000 gitan, and moves at double speed so it is hard to collect"
enemies,Pacorepkin,Traditional,2-Medium,1x1,Mystery Dungeon 2: Shiren the Wanderer,1,2,Discovery,Witness an enemy move through solid wall,N/A,Pacorepkin,,,ok,Pacorepkins travel through walls
enemies,Zoltan,Strategy,1-Low,1x1,FTL,1,1,Feat,Put up a shield that stops a hit before it lands,N/A,Zoltan,,,ok,A Zoltan shield keeps a hit — and a boarding party — off the hull entirely
enemies,Mantis Boarder,Strategy,2-Medium,1x1,FTL,1,2,Feat,Repel an enemy that reaches your own side,N/A,MantisBoarder,,,ok,Mantis crews teleport aboard and fight you in your own rooms
bosses,Rebel Flagship,Strategy,4-Insane,2x2,FTL,1,9,Bounty,Defeat the final boss of the game,N/A,RebelFlagship,,,ok,"The Last Stand's three-phase flagship, and the only way a run is won"
enemies,Psion,Strategy,1-Low,1x1,Into the Breach,1,1,Bounty,Defeat the enemy that is making the others stronger,N/A,Psion,,,ok,Harmless itself; every other Vek loses its buff the moment it dies
enemies,Scarab,Strategy,2-Medium,1x1,Into the Breach,1,2,Bounty,Defeat an enemy that outranges you,N/A,Scarab,bug,,ok,Lobs artillery from five tiles away
bosses,Spider Leader,Strategy,2-Medium,2x2,Into the Breach,1,5,Feat,Destroy an egg before it hatches,N/A,SpiderLeader,"bug, spider",,ok,An island boss whose whole threat is the eggs it leaves behind
enemies,Titan,Strategy,3-High,2x2,Dwarf Fortress,1,3,Bounty,Defeat an enemy that came to attack your home,N/A,Titan,,,ok,A surface megabeast that paths to your fort once it is rich enough to notice
bosses,Forgotten Beast,Strategy,2-Medium,2x2,Dwarf Fortress,1,5,Discovery,Meet a monster the game invented for this run,N/A,ForgottenBeast,,,ok,"Procedurally generated in the caverns, and no two are ever the same"
bosses,Bronze Colossus,Strategy,3-High,2x2,Dwarf Fortress,1,7,Bounty,Defeat an enemy made of metal,N/A,BronzeColossus,,,ok,A bronze statue that has to be worn down rather than hurt; it feels no pain
enemies,Slime,Deckbuilder,1-Low,1x1,Dicey Dungeons,1,1,Feat,Poison an enemy,N/A,Slime,slime,,ok,"Throws slime balls, which is how most runs first meet poison"
enemies,Snowman,Deckbuilder,2-Medium,1x1,Dicey Dungeons,1,2,Bounty,Defeat an enemy made of ice or snow,N/A,Snowman,ice,,ok,One of the game's Super enemies
bosses,Lady Luck,Deckbuilder,3-High,2x2,Dicey Dungeons,1,7,Feat,Win a fight decided by a lucky roll,N/A,LadyLuck,,,ok,"She runs the dungeon, and the dungeon is dice"
enemies,Stumpy Stump,Deckbuilder,1-Low,1x1,Peglin,1,1,Bounty,Defeat an enemy that is a plant,N/A,StumpyStump,plant,,ok,From the bestiary's Plants category
bosses,Thesaurosus,Deckbuilder,2-Medium,2x2,Peglin,1,5,Discovery,Meet an enemy whose name is a pun,N/A,Thesaurosus,,,ok,A thesaurus-saurus; Peglin names every body in the game this way
enemies,Jack of Dust,Deckbuilder,1-Low,1x1,Hand of Fate,1,1,Bounty,Defeat a bandit or a thief,N/A,JackOfDust,,,ok,"The Dust suit is human thieves, and the Jack is their elite"
enemies,King of Scales,Deckbuilder,2-Medium,1x1,Hand of Fate,1,2,Bounty,Defeat a lizard or a reptile,N/A,KingOfScales,,,ok,Scales is the lizardman suit; the King is its heaviest card
bosses,The Dealer,Deckbuilder,3-High,2x2,Hand of Fate,1,7,Feat,Beat the game's own narrator,N/A,TheDealer,,,ok,He deals the cards all game and is the thirteenth and last boss
enemies,Caveman,Action,1-Low,1x1,Spelunky Classic,1,1,Bounty,Defeat an enemy that charges straight at you,N/A,Caveman,,,ok,"Runs at you and does nothing else, which is the whole of its plan"
bosses,Selt,Action,2-Medium,2x2,UnderMine,1,5,Feat,Defeat an enemy by hitting one specific spot,N/A,Selt,,,ok,Only the tail takes damage; the rest of it is decoration
bosses,Seer,Action,4-Insane,2x2,UnderMine,1,9,Restriction,Beat a boss without healing,N/A,Seer,,,ok,"The hardest fight in the game, and it burns you the whole way through"
enemies,Snake,Action,1-Low,1x1,Spelunky Classic,1,1,Bounty,Defeat an enemy in the first room of a run,N/A,Snake,,,ok,"The first thing in the mines, and the first thing every run kills"
enemies,Bones,Strategy,1-Low,1x1,Slice & Dice,1,1,Bounty,Defeat an enemy that another enemy summoned,N/A,Bones,"undead, skeleton",,ok,"The Lich's passive keeps making them, and they are all the fight is"
enemies,Demon,Strategy,2-Medium,1x1,Slice & Dice,1,2,Bounty,Defeat a demon,N/A,Demon,demon,,ok,"Summons imps, and is the game's plain demon"
enemies,Shielder,Strategy,1-Low,1x1,Shogun Showdown,1,1,Feat,Strip a shield off an enemy,N/A,Shielder,,,ok,Casts shields that eat one instance of damage for an ally
enemies,Grappler,Strategy,2-Medium,1x1,Shogun Showdown,1,2,Bounty,Defeat an enemy that drags you into melee,N/A,Grappler,,,ok,Hooks the target to itself and then stabs it
bosses,The Shogun,Strategy,4-Insane,2x2,Shogun Showdown,1,9,Feat,Beat a boss that has more than one phase,N/A,TheShogun,,,ok,"The run's target, and he has a second phase"
enemies,Tick,Strategy,1-Low,1x1,Dome Keeper,1,1,Bounty,Defeat an enemy before it reaches you,N/A,Tick,bug,,ok,"Tiny, arrives in groups, and the whole threat is it getting to the dome"
enemies,Driller,Strategy,2-Medium,1x1,Dome Keeper,1,2,Feat,Repair something an enemy has broken,N/A,Driller,,,ok,"Big and slow, carrying a drill that chews sustained damage into the dome"
enemies,Barbarian,Strategy,1-Low,1x1,Legend of Keepers: Career of a Dungeon Manager,1,1,Bounty,Defeat a hero,N/A,Barbarian,,,ok,"In a game where you are the dungeon, the heroes are the monsters"
enemies,Priestess,Strategy,2-Medium,1x1,Legend of Keepers: Career of a Dungeon Manager,1,2,Bounty,Defeat an enemy that heals the others,N/A,Priestess,,,ok,The healer in the party raiding your dungeon
bosses,Owl,Strategy,3-High,2x2,Ring of Pain,1,7,Discovery,Reach a secret or alternate ending,N/A,Owl,bird,,ok,"The final boss of the Dark Ending, which is not the ending you get by default"
enemies,Polar Bear,Deckbuilder,2-Medium,1x1,Backpack Hero,1,2,Bounty,Defeat a bear,N/A,PolarBear,bear,,ok,From the Frozen Heart's roster
bosses,Farseer,Deckbuilder,3-High,2x2,Backpack Hero,1,7,Discovery,See what a room holds before you enter it,N/A,Farseer,,,ok,"A boss named for seeing what is coming, in a game about what is in the bag"
enemies,Wolf,Deckbuilder,1-Low,1x1,Across the Obelisk,1,1,Bounty,Defeat a wolf,N/A,Wolf,wolf,,ok,The Wolf Wars' plainest body
enemies,Houndmaster,Deckbuilder,2-Medium,1x1,Across the Obelisk,1,2,Bounty,Defeat an enemy that fights alongside an animal,N/A,Houndmaster,,,ok,Brings the wolves with him
enemies,Former Human,Traditional,1-Low,1x1,Jupiter Hell,1,1,Bounty,Defeat someone who used to be on your side,N/A,FormerHuman,undead,,ok,"The colony's own crew, turned; the first thing the game shows you"
enemies,Turret,Traditional,2-Medium,1x1,Jupiter Hell,1,2,Bounty,Defeat an enemy that cannot move,N/A,Turret,robot,,ok,"CalSec's bolted-down gun, which shoots and never follows"
enemies,Prismancer,Traditional,3-High,1x1,Rift Wizard,1,3,Feat,Use three different elements in one fight,N/A,Prismancer,,,ok,"A caster of many colours, in a game where every spell carries an element tag"
enemies,Archer,Traditional,1-Low,1x1,Hoplite,1,1,Feat,Beat a ranged enemy by standing next to it,N/A,Archer,,,ok,Range 5 and cannot attack an adjacent tile at all
enemies,Wizard,Traditional,2-Medium,1x1,Hoplite,1,2,Feat,Use an enemy as cover,N/A,Wizard,,,ok,Its fire beam will not fire through another demon
enemies,Elite Kappa,Action,2-Medium,1x1,Gunfire Reborn,1,2,Bounty,Defeat a creature that lives in water,N/A,EliteKappa,,,ok,"A kappa is a river spirit, and it fights like one"
bosses,Abyssal Serpent,Action,3-High,1x3,Gunfire Reborn,1,7,Bounty,Defeat a giant serpent,N/A,AbyssalSerpent,,,ok,"An act boss, and long enough to need the room"
enemies,Pawn,Strategy,1-Low,1x1,Shotgun King: The Final Checkmate,1,1,Discovery,Watch a weak enemy turn into a strong one,N/A,Pawn,,,ok,"Reaches the far side and is promoted into a knight, a rook, a bishop or a queen"
enemies,Rook,Strategy,2-Medium,1x1,Shotgun King: The Final Checkmate,1,2,Bounty,Defeat an enemy that can only move in straight lines,N/A,Rook,,,ok,It moves and attacks orthogonally and has never done anything else
bosses,White King,Strategy,3-High,2x2,Shotgun King: The Final Checkmate,1,7,Feat,Defeat a boss that grows when it is cornered,N/A,WhiteKing,,,ok,"The last white king reaches his breaking point, goes massive and takes up four squares"
bosses,The Butcher,Action,2-Medium,2x2,Diablo,1,5,Discovery,Meet an enemy that speaks to you,N/A,TheButcher,,,ok,"""Ah, fresh meat!"" — greeting you from a room strewn with the townsfolk he butchered"
bosses,King Leoric,Action,3-High,2x2,Diablo,1,7,Bounty,Defeat an enemy that heals off the damage it deals,N/A,KingLeoric,"undead, skeleton",,ok,"Diablo's Skeleton King under his own name, since Ball x Pit's crowned one already has the sheet's Skeleton King; he heals for everything he takes off you"
enemies,Chaos Cyclops,Action,3-High,1x1,Wizard of Legend,1,3,Bounty,Defeat a one-eyed enemy,N/A,ChaosCyclops,eye,,ok,"A chaos-tier body from the Chaos Trials, where every enemy has a chaos variant"
enemies,Marching Ghost,Action,1-Low,1x1,Halls of Torment,1,1,Bounty,Defeat an enemy that moves in formation with others,N/A,MarchingGhost,undead,,ok,The Forgotten Viaduct's ghosts arrive in step and stay in step
enemies,Possessed Effigy,Action,2-Medium,1x1,Halls of Torment,1,2,Discovery,Watch a statue come to life,N/A,PossessedEffigy,statue,,ok,An effigy that stops being scenery
